date,YS_GER
2008-05-01,0.23663
2008-05-01,0.254456
2008-05-01,0.260004
2008-05-01,0.237411
2008-06-01,0.25534
2008-06-01,0.236989
2008-06-01,0.248294
2008-06-01,0.078371
2008-06-01,-0.030608
2008-06-01,-0.047915
2008-06-01,0.068685
2008-06-01,0.145183
2008-06-01,0.157288
2008-06-01,0.151265
2008-06-01,0.062567
2008-06-01,0.094886
2008-06-01,0.078952
2008-06-01,0.053288
2008-06-01,0.077949
2008-06-01,0.098197
2008-06-01,0.1648
2008-06-01,0.130994
2008-06-01,0.141112
2008-06-01,0.165802
2008-06-01,0.112371
2008-07-01,0.102427
2008-07-01,0.100061
2008-07-01,0.202455
2008-07-01,0.19612
2008-07-01,0.153624
2008-07-01,0.151709
2008-07-01,0.098964
2008-07-01,0.107323
2008-07-01,0.123807
2008-07-01,0.146569
2008-07-01,0.182505
2008-07-01,0.190121
2008-07-01,0.189514
2008-07-01,0.17455
2008-07-01,0.125449
2008-07-01,0.170172
2008-07-01,0.171336
2008-07-01,0.230576
2008-07-01,0.235024
2008-07-01,0.261502
2008-07-01,0.24502
2008-07-01,0.223944
2008-07-01,0.212639
2008-08-01,0.189867
2008-08-01,0.195324
2008-08-01,0.189046
2008-08-01,0.193631
2008-08-01,0.28249
2008-08-01,0.299086
2008-08-01,0.297146
2008-08-01,0.27506
2008-08-01,0.312675
2008-08-01,0.316399
2008-08-01,0.29541
2008-08-01,0.291518
2008-08-01,0.317442
2008-08-01,0.281347
2008-08-01,0.255832
2008-08-01,0.236398
2008-08-01,0.244346
2008-08-01,0.280337
2008-08-01,0.251847
2008-08-01,0.189966
2008-08-01,0.211265
2008-09-01,0.25871
2008-09-01,0.262081
2008-09-01,0.254622
2008-09-01,0.250539
2008-09-01,0.241808
2008-09-01,0.266682
2008-09-01,0.290623
2008-09-01,0.296893
2008-09-01,0.312562
2008-09-01,0.340822
2008-09-01,0.448215
2008-09-01,0.484219
2008-09-01,0.471388
2008-09-01,0.479525
2008-09-01,0.451887
2008-09-01,0.419835
2008-09-01,0.462568
2008-09-01,0.517402
2008-09-01,0.541216
2008-09-01,0.608133
2008-09-01,0.737373
2008-09-01,0.75156
2008-10-01,0.769575
2008-10-01,0.842073
2008-10-01,0.910527
2008-10-01,0.997805
2008-10-01,0.998588
2008-10-01,1.006572
2008-10-01,1.147421
2008-10-01,1.26344
2008-10-01,1.295279
2008-10-01,1.209126
2008-10-01,1.267122
2008-10-01,1.354892
2008-10-01,1.413142
2008-10-01,1.382695
2008-10-01,1.376422
2008-10-01,1.376114
2008-10-01,1.323309
2008-10-01,1.335108
2008-10-01,1.437037
2008-10-01,1.527549
2008-10-01,1.527861
2008-10-01,1.515519
2008-10-01,1.579039
2008-11-01,1.549562
2008-11-01,1.556528
2008-11-01,1.535442
2008-11-01,1.517605
2008-11-01,1.532992
2008-11-01,1.518243
2008-11-01,1.543399
2008-11-01,1.582492
2008-11-01,1.625331
2008-11-01,1.549866
2008-11-01,1.589209
2008-11-01,1.594155
2008-11-01,1.570915
2008-11-01,1.604672
2008-11-01,1.557892
2008-11-01,1.564501
2008-11-01,1.43955
2008-11-01,1.406266
2008-11-01,1.394219
2008-11-01,1.398048
2008-12-01,1.346444
2008-12-01,1.298734
2008-12-01,1.235449
2008-12-01,1.289057
2008-12-01,1.250822
2008-12-01,1.229669
2008-12-01,1.220777
2008-12-01,1.268627
2008-12-01,1.323799
2008-12-01,1.350577
2008-12-01,1.412882
2008-12-01,1.392175
2008-12-01,1.466216
2008-12-01,1.478949
2008-12-01,1.525005
2008-12-01,1.518694
2008-12-01,1.520369
2008-12-01,1.527102
2008-12-01,1.541019
2008-12-01,1.546015
2008-12-01,1.550534
2009-01-01,1.568755
2009-01-01,1.644966
2009-01-01,1.7072
2009-01-01,1.792747
2009-01-01,1.817298
2009-01-01,1.868447
2009-01-01,1.867642
2009-01-01,1.878119
2009-01-01,1.893776
2009-01-01,1.841581
2009-01-01,1.864907
2009-01-01,1.88991
2009-01-01,1.933258
2009-01-01,1.987689
2009-01-01,2.11626
2009-01-01,2.156196
2009-01-01,2.085548
2009-01-01,2.079644
2009-01-01,2.022696
2009-01-01,2.098129
2009-01-01,2.235718
2009-02-01,2.264888
2009-02-01,2.300507
2009-02-01,2.29637
2009-02-01,2.346022
2009-02-01,2.38841
2009-02-01,2.340591
2009-02-01,2.34611
2009-02-01,2.348167
2009-02-01,2.247097
2009-02-01,2.271973
2009-02-01,2.320882
2009-02-01,2.350726
2009-02-01,2.328114
2009-02-01,2.271254
2009-02-01,2.279218
2009-02-01,2.224777
2009-02-01,2.257374
2009-02-01,2.291952
2009-02-01,2.296442
2009-02-01,2.29594
2009-03-01,2.363275
2009-03-01,2.411692
2009-03-01,2.497754
2009-03-01,2.401218
2009-03-01,2.336
2009-03-01,2.236867
2009-03-01,2.264044
2009-03-01,2.274592
2009-03-01,2.268003
2009-03-01,2.286853
2009-03-01,2.31539
2009-03-01,2.349403
2009-03-01,2.357721
