date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
2012-08-01,,95.7052570213419,,,4.59,,,5.002701999999999,,,,0.0,4.568
2012-09-01,,97.1141122495769,,,4.59,5.44,,4.669258999999999,,,,1.0,4.772
2012-10-01,0.142234,94.7067348136213,,5420.377,4.64,5.35,,4.9153720000000005,,1936565.75,1736137.25,1.0,4.596
2012-11-01,,95.8795940321891,,,4.76,5.52,,5.287912,,,,1.0,4.18
2012-12-01,,95.404786634701,,,4.62,,,4.947464,,,,1.0,3.5680000000000005
2013-01-01,0.2306406,95.4443959695214,3.80639069747204,5425.999,4.59,5.47,,5.204316,9738.71059803658,1949379.75,1750060.375,1.0,3.2550000000000003
2013-02-01,,96.3818923359145,,,4.32,5.03,,4.860323,,,,1.0,3.5520000000000005
2013-03-01,,95.3212870642804,,,4.22,,,4.914686,,,,1.0,4.252000000000001
2013-04-01,0.1298786,93.7791304279678,,5403.9695,4.11,5.0,,5.148683999999999,,1961965.5,1773668.375,1.0,4.649
2013-05-01,,95.8961310163699,,,3.98,4.64,,5.090205,,,,1.0,4.630999999999999
2013-06-01,,94.9064315587338,,,4.08,6.2,,5.081586,,,,1.0,4.088
2013-07-01,0.3066074,95.1226309198008,,5436.957,4.01,,,4.806830000000001,,1960642.875,1856834.0,1.0,3.473
2013-08-01,,95.9643773747027,,,4.0,5.93,,4.82355,,,,1.0,3.457
2013-09-01,,95.1637668756418,,,3.71,6.13,,4.947742,,,,1.0,3.39
2013-10-01,0.2330866,95.7282137307747,,5463.8845,3.53,5.97,,4.892414,,1957588.75,1852182.75,1.0,3.359
2013-11-01,,95.8249122756514,,,3.6,,,4.633836,,,,0.0,3.619
2013-12-01,,96.0587010645073,,,3.64,6.33,,4.747419,,,,0.0,3.974
2014-01-01,0.0563063,96.1993384550752,4.01861608078679,5499.385,3.66,6.46,,4.882218,9862.48125444199,2013957.25,1881693.0,0.0,4.4830000000000005
2014-02-01,,96.7473754734547,,,3.78,,,4.690169,,,,0.0,4.234
2014-03-01,,97.9824839319951,,,3.68,6.32,,5.233872,,,,0.0,3.759
2014-04-01,0.215378,98.2469326255938,,5571.326,3.66,6.15,,4.94801,,2062670.875,1934750.375,0.0,3.497
2014-05-01,,98.6400890246251,,,3.61,5.87,,5.069078,,,,0.0,3.51
2014-06-01,,98.9184052801051,,,3.1,,,4.879747,,,,0.0,3.753
2014-07-01,0.0612182,98.2443608234734,,5579.492,3.03,5.69,,5.141468,,2084695.25,1953743.25,0.0,4.072
