"date","price","Open","High","Low","Change %"
"01/01/2022","-0.049","-0.089","-0.045","-0.090","-44.94%"
"02/01/2022","-0.030","-0.049","-0.009","-0.053","-38.78%"
"03/01/2022","-0.040","-0.042","-0.016","-0.054","33.33%"
"04/01/2022","-0.054","-0.034","-0.032","-0.087","35.00%"
"05/01/2022","-0.073","-0.054","-0.040","-0.076","35.19%"
"06/01/2022","-0.058","-0.065","-0.019","-0.092","-20.55%"
"07/01/2022","-0.084","-0.059","-0.056","-0.086","44.83%"
"08/01/2022","-0.084","-0.084","-0.073","-0.104","0.00%"
"09/01/2022","-0.048","-0.077","-0.034","-0.083","-42.86%"
"10/01/2022","-0.039","-0.046","0.001","-0.075","-18.75%"
"11/01/2022","-0.024","-0.036","-0.005","-0.073","-38.46%"
"12/01/2022","0.032","-0.027","0.053","-0.030","-233.33%"
"01/01/2023","-0.018","0.041","0.063","-0.024","-156.25%"
"02/01/2023","-0.037","-0.008","-0.003","-0.059","105.56%"
"03/01/2023","-0.055","-0.025","-0.012","-0.088","48.65%"
"04/01/2023","-0.036","-0.047","-0.021","-0.060","-34.55%"
"05/01/2023","-0.052","-0.041","-0.028","-0.066","44.44%"
"06/01/2023","-0.066","-0.054","-0.051","-0.080","26.92%"
"07/01/2023","0.007","-0.067","0.010","-0.069","-110.61%"
"08/01/2023","0.031","0.008","0.033","0.000","342.86%"
"09/01/2023","0.051","0.029","0.058","0.003","64.52%"
"10/01/2023","0.156","0.055","0.161","0.043","205.88%"
"11/01/2023","0.029","0.154","0.166","0.027","-81.41%"
"12/01/2023","0.049","0.068","0.114","0.027","68.97%"
"01/01/2024","0.091","0.061","0.100","0.000","85.71%"
"02/01/2024","0.180","0.092","0.191","0.077","97.80%"
"03/01/2024","0.181","0.194","0.213","0.171","0.56%"
"04/01/2024","0.276","0.195","0.318","0.188","52.49%"
"05/01/2024","0.405","0.281","0.411","0.273","46.74%"
"06/01/2024","0.355","0.398","0.404","0.280","-12.35%"
"07/01/2024","0.455","0.365","0.440","0.301","28.17%"
"08/01/2024","0.361","0.447","0.470","0.245","-20.66%"
"09/01/2024","0.388","0.367","0.400","0.311","7.48%"
"10/01/2024","0.435","0.403","0.462","0.360","12.11%"
"11/01/2024","0.589","0.448","0.596","0.443","35.40%"
"12/01/2024","0.605","0.625","0.630","0.550","2.72%"
"01/01/2025","0.723","0.650","0.723","0.644","19.50%"
"02/01/2025","0.808","0.725","0.824","0.725","11.76%"
"03/01/2025","0.835","0.829","0.884","0.810","3.34%"
"04/01/2025","0.675","0.855","0.855","0.584","-19.16%"
"05/01/2025","0.748","0.628","0.756","0.611","10.81%"
"06/01/2025","0.767","0.745","0.776","0.741","2.54%"
